config_id,dataset_version,embedding_model,environment,git_commit,latency_ms,metrics,query_id,relevant_chunk_ids,result_scope,retrieval_config,retrieval_parameters,returned_chunk_ids,timestamp
1,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,4.55775000000358,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 1.0}",demo-q1,"[-20000, -20001]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 5, ""ef_search"": 40}","{""top_k"": 5, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20000, -20001, -20006, -20007, -20009]",2026-07-13T15:59:11.843493+00:00
1,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,2.2136250004223257,"{""recall_at_5"": 0.5, ""recall_at_10"": 0.5, ""mrr"": 1.0, ""ndcg_at_10"": 0.6131471927654584}",demo-q2,"[-20002, -20003]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 5, ""ef_search"": 40}","{""top_k"": 5, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20002, -20001, -20006, -20010, -20009]",2026-07-13T15:59:11.843493+00:00
1,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.536416999897483,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 1.0}",demo-q3,[-1003],demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 5, ""ef_search"": 40}","{""top_k"": 5, ""distance"": ""cosine"", ""index"": ""disabled""}","[-1003, -20006, -20010, -20009, -20008]",2026-07-13T15:59:11.843493+00:00
1,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.5379169999505393,"{""recall_at_5"": 0.6666666666666666, ""recall_at_10"": 0.6666666666666666, ""mrr"": 1.0, ""ndcg_at_10"": 0.7653606369886217}",demo-q4,"[-20005, -20006, -20007]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 5, ""ef_search"": 40}","{""top_k"": 5, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20006, -20005, -20008, -20000, -20002]",2026-07-13T15:59:11.843493+00:00
1,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.439084000139701,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 0.8529278650606567}",demo-q5,"[-20008, -20009, -20010]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 5, ""ef_search"": 40}","{""top_k"": 5, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20008, -20006, -20001, -20010, -20009]",2026-07-13T15:59:11.843493+00:00
2,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.7512909998913528,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 1.0}",demo-q1,"[-20000, -20001]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 10, ""ef_search"": 40}","{""top_k"": 10, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20000, -20001, -20006, -20007, -20009, -20008, -20002, -20010, -20005, -20003]",2026-07-13T15:59:11.843493+00:00
2,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,2.0789999998669373,"{""recall_at_5"": 0.5, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 0.7977228895450266}",demo-q2,"[-20002, -20003]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 10, ""ef_search"": 40}","{""top_k"": 10, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20002, -20001, -20006, -20010, -20009, -20008, -20007, -20005, -20003, -20000]",2026-07-13T15:59:11.843493+00:00
2,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.4103749999776483,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 1.0}",demo-q3,[-1003],demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 10, ""ef_search"": 40}","{""top_k"": 10, ""distance"": ""cosine"", ""index"": ""disabled""}","[-1003, -20006, -20010, -20009, -20008, -20007, -20005, -20003, -20002, -20001]",2026-07-13T15:59:11.843493+00:00
2,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.4563749996341357,"{""recall_at_5"": 0.6666666666666666, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 0.9134015924715543}",demo-q4,"[-20005, -20006, -20007]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 10, ""ef_search"": 40}","{""top_k"": 10, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20006, -20005, -20008, -20000, -20002, -20009, -20010, -20007, -20003, -20001]",2026-07-13T15:59:11.843493+00:00
2,demo-v1,demo/deterministic-token-hash,"{""python"": ""3.11.15"", ""platform"": ""Linux-6.12.76-linuxkit-aarch64-with-glibc2.41"", ""database"": ""PostgreSQL + pgvector"", ""demo"": true, ""git_dirty"": ""false""}",32f626a17c60ba51aeb0ffebf518229ef8a8bb99,1.3172909998502291,"{""recall_at_5"": 1.0, ""recall_at_10"": 1.0, ""mrr"": 1.0, ""ndcg_at_10"": 0.8529278650606567}",demo-q5,"[-20008, -20009, -20010]",demo,"{""mode"": ""exact"", ""chunk_size"": 160, ""overlap"": 20, ""top_k"": 10, ""ef_search"": 40}","{""top_k"": 10, ""distance"": ""cosine"", ""index"": ""disabled""}","[-20008, -20006, -20001, -20010, -20009, -20007, -20005, -20003, -20002, -20000]",2026-07-13T15:59:11.843493+00:00
